#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.54547     1.54547           0
           2     1.52899     1.53723   0.0058263
           3     1.59697     1.55715   0.0167164
           4     1.54394     1.55385   0.0128592
           5     1.71757     1.58659   0.0310423
           6     1.56472     1.58294   0.0260818
           7     1.45748     1.56502   0.0278411
           8     1.50853     1.55796   0.0252406
           9     1.42351     1.54302   0.0264905
          10     1.55561     1.54428   0.0238713
          11     1.49831      1.5401   0.0220639
          12     1.44262     1.53198   0.0216691
          13     1.42079     1.52343   0.0216245
          14     1.35661     1.51151   0.0231309
          15     1.51744     1.51191   0.0215922
          16     1.47114     1.50936   0.0203924
          17     1.48529     1.50794    0.019242
          18      1.4696     1.50581   0.0182905
          19     1.62691     1.51219   0.0184049
          20     1.55958     1.51456   0.0176366
